,会社名,URL,タイトル,経験,技術領域,形式,言語タグ,本文
0,ACCESS,"https://www.access-company.com/recruit/workstyle/intern/

※メールでの申込も可能。  
インターンシップ担当：empinfo_new_o-gr@access-company.com ",［Online］1Day Web プラットフォーム開発インターン ～ブラウザでスマートテレビのUIをつくろう！～,,,体験,"C,JavaScript","Web プラットフォーム開発エンジニアとして、 スマートテレビの UI 開発に関する疑似プロジェクトを体験。
具体的にはスマートテレビ上で動作する HTML5 アプリケーションの開発と、
自社製品「NetFront Browser BE」のベースである Chromium を使用したブラウザの機能拡張を通して、
Webプラットフォーム上で実際に行われる設計から実装、テストまでの一連の開発の流れを体験できます。
 
 開発言語: C++、JavaScript 。
 基礎レベルの経験があれば大丈夫です。
 
 また、エンジニアが4名程度アドバイザーとして参加しますので、
 オンラインでありながらも実際の社風を感じることができます！
 
 * NetFront Browser BE：4K・8K テレビやコネクテッドカー等の組み込み機器向けに小メモリ化、高性能化を実現した自社製品の組み込みブラウザ"
1,ACCESS,"https://www.access-company.com/recruit/workstyle/intern/   

※メールでの申込も可能。
 インターンシップ担当：empinfo_new_o-gr@access-company.com",［Online］2Daysサーバーサイドエンジニアインターン ～仮想IoTデバイスの監視サービス開発体験～,,,体験,,自社OSSであるAntikythera; Frameworkを利用した 「仮想IoTデバイスの監視サービス」の開発体験を行なっていただきます。  お掃除ロボット（仮想IoTデバイス）がエラー起きた際に、 自社製品チャットアプリLinkitに対して、メッセージ通知するbotの作成を設計から実装まで行います。  （お掃除ロボットを想定しておりますが、変更の可能性があります。）    開発言語：Elixir  他の言語経験があれば未経験でも大丈夫！  初日に簡単なElixir講座を実施します。    また、エンジニアが4名程度アドバイザーとして参加しますので、 オンラインでありながらも実際の社風を感じることができます！
2,Acroquest Technology,https://recruit.acroquest.co.jp/remote1day-internship/,[Online] リモート1Dayインターンシップ現場エンジニアによる機械学習/Pythonセミナー,,,体験,Python,"
IT業界やエンジニアに少しでも興味のある学生必見の
内容になっています！

① 現場エンジニアによる機械学習/Pythonハンズオン‬
‪② トップエンジニアによる最先端IT事業 + IT業界説明‬
‪③ 技術を支える働きがいNo.1の社風紹介‬
‪④ トップ層から若手まで参加する懇談会‬
"
3,Amazon Web Services (AWS)a/zàwwsa,https://amazonjpstudents.splashthat.com/,Solutions Architect 3 day virtual Internship,,,体験,,AWS のサービスを組み合わせてお客様の課題解決を技術的に支援するソリューションアーキテクトの業務を想定して、学生数名チームで実在する大規模コンシューマー向けサービスを実現するアーキテクチャを設計し、その内容を他のインターン参加者や社員に対して発表するという課題を予定しています。インターシップのプログラムの中には他のポジションの紹介や、社員との交流会も予定しているため、Amazon/AWSのカルチャーやキャリアパス等についても学べる場となっております。当インターンシップは選考直結型のプログラムです。
4,Amazon Web Services (AWS)zai,https://amazonjpstudents.splashthat.com/,Cloud Suport Engineer 3 days Internship;;,,,体験,,"AWSをご利用頂いているお客様の技術的課題の解決や、より効果的に使っていただくための提案をするエンジニアポジションです。
AWSのサービスについて実践的な研修を受け、個人及びグループ課題に取り組んでいただきます。ご自身の技術力をいかすことはもちろんのこと、スキルアップを目指せるプログラムです。
また新入社員や海外で活躍する日本人エンジニアとのオンライン座談会も予定しておりますのでAmazon/AWSの社風、キャリアパス等についてもご理解いただける場となります。"
5,Colopl（コロプラ）,f,Solutions Architect 3 day virtual Internship,,,体験,, 
6,Colopl（コロプラ),https://be-ars.colopl.co.jp/internship/engineer/backendengineering/,"【就業型コース】
大規模サービスのバックエンドを学ぶ
就業型インターンシップ",,,体験,,TBD
7,Colopl（コロプラ）,https://be-ars.colopl.co.jp/internship/engineer/buildup/,"【負荷分散コース】
高トラフィックをさばくための
エンジニアリングを学ぶ
インターンシップ",,,体験,,"コロプラにて運用中のゲームタイトルを題材に、実務を想定した課題に取り組んでいただきます。
普段なかなか経験できない高トラフィック環境において、
実務レベルのコーディングを学べるため、ゲームのバックエンドを実践さながらに経験でき、
確実な設計力・実装力のアップにも繋がります。
先輩エンジニアがメンターとしてサポートしつつ、
高トラフィック環境において要求される負荷分散の技術を身に付けられるプログラムです。
コロプラのインターンシップ2020で、
これまでに経験したことのない『覚醒』を実感してください。"
8,"Combz.inc 
（コンビーズ）",https://www.combz.jp/recruit/2020,技術者コース（Combz engineer）,,,体験,,"Webマーケティングサービスを企画、開発し運営している独立系IT企業です。
若いチカラを積極的に採用する職場でコミュニケーション取りながら実業務を経験できる環境となっています。

インターンでは開発チームに所属します。
現在はスクラム開発、2週間でスプリントを回していてチームでコミュニケーション取りながらサービスの開発を進めています。ペアプロも取り入れています。

AWSを駆使したり、アプリ開発を行ったりとスキルや希望に応じて任される内容は様々ですが、基本的には他の技術者と共に技術調査やシステム開発を行います。

担当コーチが付いたり、評価の仕組みがあったり、長期インターンも可能で、学業との兼ね合いも相談でき、しっかり見てくれるので安心して取り組むことができます。

※関西・大阪（リモート相談OK）"
9,"Combz.inc 
（コンビーズ）",https://www.combz.jp/recruit/2020,サービス開発コース（Combz engineer2）,,,体験,,"Webマーケティングサービスを企画、開発し運営している独立系IT企業です。
若いチカラを積極的に採用する職場でコミュニケーション取りながら実業務を経験できる環境となっています。

インターンでは開発チームに所属し新サービスの担当プログラマーとしてインターンを経験できます。
現在はスクラム開発、2週間でスプリントを回していてチームでコミュニケーション取りながらサービスの開発を進めています。

現在はたくさんのIssueがあり、多くのエンジニアでモノづくりに取り組んでいて、サービスを形にしていくプロセスを経験できます。

担当コーチが付いて評価の仕組みがあったり、長期インターンも可能。学業との兼ね合いも相談できて、しっかり見てくれるので安心して取り組むことができます。

※関西・大阪（リモート相談OK）"
10,"Combz.inc 
（コンビーズ）",https://www.combz.jp/recruit/2020,サービス運用コース（Combz Service Engineer）,,,体験,,Webマーケティングサービスを企画、開発し運営している独立系IT企業です。 若いチカラを積極的に採用する職場でコミュニケーション取りながら実業務を経験できる環境となっています。  このインターンでは実運用中のWebサービスに担当プログラマーとしてインターンを経験できます。  直接お客様とやり取りするわけではありませんが、利用者様や検討者様の声を目にすることができそこからのサービス改善と、新サービス立ち上げとはまた違った、運用中ならではの開発業務を経験することができます。  興味があれば、プログラミングだけでなく、サーバ運用やサービス運営にかかわる広い範囲の業務を経験することができます。 担当コーチが付いて評価の仕組みがあったり、長期インターンも可能。学業との兼ね合いも相談できて、しっかり見てくれるので安心して取り組むことができます。  ※関西・大阪（リモート相談OK）
11,"Combz.inc 
（コンビーズ）",https://www.combz.jp/recruit/2020,マークアップエンジニアコース（Combz Markup Engineer）,,,体験,,"Webマーケティングサービスを企画、開発し運営している独立系IT企業です。
若いチカラを積極的に採用する職場でコミュニケーション取りながら実業務を経験できる環境となっています。

このインターンでは自社開発のサービスのマークアップエンジニアとして業務を経験できます。

担当にデザイナーが付き、ページのコーディングや簡単なデザイン業務など行います。
サービスアシスタントやライターの方とのやり取りがあったりと、本格的な業務の流れを体験できます。

興味があれば、コーディングだけでなく、サービス運営にかかわる広い範囲の業務を経験することができます。
評価の仕組みがあったり、長期インターンも可能。学業との兼ね合いも相談できて、しっかり見てくれるので安心して取り組むことができます。

※関西・大阪（リモート相談OK）"
12,Cookpad,https://internship.cookpad.jp/,5 Day Engineer コース（Webアプリ開発）,,,体験,,クックパッドのノウハウを学び、ユーザー課題を解決するための Web アプリケーションを1から企画・開発する力をつけられるインターンシップです。  1〜2日目は、クックパッドのアプリケーション開発手法やサービス開発の方法について講義・ハンズオン形式で学びます。 3〜5日目は、前半で学んだ内容をもとに、各自でお題に沿ったアプリケーションを開発していただきます。社員エンジニアがメンターとしてサポートします。 ※最終日に成果発表があります。
13,Cookpad,https://internship.cookpad.jp/,5 Day Engineer コース（Androidアプリ開発）,,,体験,,"クックパッドのノウハウを学び、ユーザー課題を解決するための Android アプリケーションを1から企画・開発する力をつけられるインターンシップです。

1〜2日目は、クックパッドのアプリケーション開発手法やサービス開発の方法について講義・ハンズオン形式で学びます。
3〜5日目は、前半で学んだ内容をもとに、各自でお題に沿ったアプリケーションを開発していただきます。社員エンジニアがメンターとしてサポートします。
※最終日に成果発表があります。"
14,Cookpad,https://internship.cookpad.jp/,5 Day Engineer コース（iOSアプリ開発）,,iOS,体験,,"クックパッドのノウハウを学び、ユーザー課題を解決するための iOS アプリケーションを1から企画・開発する力をつけられるインターンシップです。

1〜2日目は、クックパッドのアプリケーション開発手法やサービス開発の方法について講義・ハンズオン形式で学びます。
3〜5日目は、前半で学んだ内容をもとに、各自でお題に沿ったアプリケーションを開発していただきます。社員エンジニアがメンターとしてサポートします。
※最終日に成果発表があります。"
15,Cookpad,https://internship.cookpad.jp/jobtraining,mahou,,,体験,,クックパッドのレシピサービスや新規事業サービスの開発など、実際の業務を行っていただきます。 就業期間については柔軟に対応いたしますので、ぜひご相談ください。
16,Cookpad,https://internship.cookpad.jp/jobtraining,就業型 研究開発コース,,,体験,"Rails,Ruby",研究開発の就業形インターンシップでは現場のエンジニアとともに機械学習のモデルの構築やデプロイに取り組んでいただきます。機械学習や自然言語処理、画像処理、AWS、Docker、CI、 MySQL、Ruby on Rails などのキーワードが気になる方、 料理が好きな方のご応募をお待ちしています。
17,CyberAgent,https://www.cyberagent.co.jp/careers/students/event/detail/id=24418,2days インフラ向け 開発型インターンシップ,,,体験,,"以前からご好評いただいている「おうちKubernetesインターンシップ」がリニューアルして帰ってきました。今回は「Raspberry Pi 4 で始めるおうち Kubernetes クラスタ自作入門」として開催します。

今回は Intel NUC Kitとkindを使って複数ノードから構成される「おうちKubernetesクラスタ」を構築し、その上で各自でメンター社員と話し合いながらフリーテーマを設定し、実際に何かしらのミドルウェアやアプリケーションをデプロイするところまでをゴールとします。
今回は Raspberry Pi 4 を 3 台用意し、にマルチノード構成の物理「おうち Kubernetes クラスタ」を構築し、その上で様々なアプリケーションやミドルウェアを動作させていただきます。もちろん、Kubernetes に精通した多くのメンター社員がサポートします。
構築ツールを使わずに Kubernetes クラスタの構築を1から行い、Kubernetes 自体のアーキテクチャに DeepDive するもよし、サクッとKubernetes を構築してその上に様々なミドルウェアを動作させていくもよし、

Kubernetesに興味がある方や、自宅サーバーに興味がある方はぜひご参加下さい。"
18,CyberAgent,https://www.cyberagent.co.jp/careers/students/event/detail/id=24419,2days サーバーサイド向け 開発型インターンシップ,,,体験,,"2days サーバーサイド向け 開発型インターンシップでは、サービスを模したWebアプリケーションをチューニングし、個人間でスコアを競って頂きます。2020年3月に実施された「Backend Tuning Competition」と同内容のものとなります。

計測と改善のサイクルを繰り返しながら、サーバーサイドの実装やDB、ミドルウェア等あらゆる点でチューニングを行い、パフォーマンスの改善=スコアアップを目指します。
2日間で開発スキルアップを図り、現役のエンジニア社員、技術、開発環境に触れることができます。
個人開発ではなかなか意識しづらい領域において、現役社員や周りの参加者と切磋琢磨しお互いにスキルアップをしませんか？"
19,CyberAgent,https://www.cyberagent.co.jp/careers/students/event/detail/id=24420,1day ゲームクライアント向け 開発型インターンシップ,,,体験,,"与えられた仕様書をもとにUnityを用いて1日でゲームを開発してもらいます。
実装項目ごとに点数が設定されており、合計の獲得点数を競い合う競技形式のインターンシップです。

仕様書の各項目に点数が設定されており、スピードと正確さを意識しながら満点を目指して実装してください。
技術メンターとなるエンジニア社員のバックアップのなか、学生同士で点数を競い合っていただきます。
1日で開発スキルアップを図り、現役のエンジニア社員、技術、開発環境に触れることができます。
また、同一の課題に挑戦するので参加者同士で学び合うこともできます。"
20,CyberAgent,https://www.cyberagent.co.jp/careers/students/event/detail/id=24421,1day 全職種向け ゲームAI×プロコン型インターンシップ,,,体験,C,"「1day 全職種向け ゲームAI×プロコン型インターンシップ」では、
サイバーエージェントのゲーム事業部内で実際に行われている「ゲームAIを実装するプログラミングコンテスト」を学生向けに開催いたします。
ここでゲームAIとは、ゲームキャラクターを動かすロジック・アルゴリズムのことを指します。
AIと言ってもディープラーニングや強化学習などの機械学習の知識は要求されません。
ゲーム開発の現場では、メモリの使用量を押さえたり、計算量を削減したり、探索を行ったりなど各種アルゴリズムを用いることがあります。
本インターンシップでは、実際に与えられたお題のAIを作成する中で、ゲーム開発の中で実際に必要となる可能性のあるアルゴリズムに触れることができます。
本プロコンのお題のゲームはUnity上で動作する形で提供します。
AIの行動を決定するためのメソッドが用意されているので、そのメソッドの中にC#でロジックを実装していただきます。
点数が設定された問題が複数与えられ、解いた問題の点数の和によって順位が決まります。
各問題には複数のテストケースが用意されており、採点は自動的に行われます。
言語はC#限定となりますが、Unity独自の機能実装は行わない問題設計になっているため、Unity未経験でもC#で基本的なプログラミングができれば参加可能です。
また、ある程度の数の問題はアルゴリズムの知識が無くても取り組みやすい内容になっているため、アルゴリズム系のプログラミングコンテストに参加したことがないような方でも大丈夫です。
"
21,CyberAgent,https://www.cyberagent.co.jp/careers/students/event/detail/id=24424,7days サーバーサイド向け 体験就業型インターンシップ,,,体験,C,"「1day 全職種向け ゲームAI×プロコン型インターンシップ」では、
サイバーエージェントのゲーム事業部内で実際に行われている「ゲームAIを実装するプログラミングコンテスト」を学生向けに開催いたします。
ここでゲームAIとは、ゲームキャラクターを動かすロジック・アルゴリズムのことを指します。
AIと言ってもディープラーニングや強化学習などの機械学習の知識は要求されません。
ゲーム開発の現場では、メモリの使用量を押さえたり、計算量を削減したり、探索を行ったりなど各種アルゴリズムを用いることがあります。
本インターンシップでは、実際に与えられたお題のAIを作成する中で、ゲーム開発の中で実際に必要となる可能性のあるアルゴリズムに触れることができます。
本プロコンのお題のゲームはUnity上で動作する形で提供します。
AIの行動を決定するためのメソッドが用意されているので、そのメソッドの中にC#でロジックを実装していただきます。
点数が設定された問題が複数与えられ、解いた問題の点数の和によって順位が決まります。
各問題には複数のテストケースが用意されており、採点は自動的に行われます。
言語はC#限定となりますが、Unity独自の機能実装は行わない問題設計になっているため、Unity未経験でもC#で基本的なプログラミングができれば参加可能です。
また、ある程度の数の問題はアルゴリズムの知識が無くても取り組みやすい内容になっているため、アルゴリズム系のプログラミングコンテストに参加したことがないような方でも大丈夫です。
"
22,CyberAgent,https://www.cyberagent.co.jp/careers/students/event/detail/id=24425,7days Android向け 体験就業型インターンシップ,,,体験,,"1ヶ月で実際の社員と同じように実務経験をする、大人気の就業型インターンシップ「CA Tech JOB」。

「1ヶ月まるごとだと時間が取りづらい」「ハードルが高そう」といった学生の皆様からの声を受け、より気軽に実務を体験することができるよう、『CA Tech JOB Lite』として新しい就業型インターンシップを開催します。
今回はAndroidエンジニアの募集となります。(就業先の部署や取り組むタスクについては、個別相談の上、皆様の強みを生かせるものとなるよう決定していきます。)"
23,CyberAgent,https://www.cyberagent.co.jp/careers/students/event/detail/id=24426,3days iOS/Android向け 開発型インターンシップ,,iOS,体験,,"3days iOS/Android向け 開発型インターンシップでは、サイバーエージェントの人気サービス「AbemaTV」において架空の新機能を実装して頂きます。2019年9月に実施された「AbemaTV Hack」と同内容のインターンシップです。

サイバーエージェントの現場で実際に働いているエンジニア社員のバックアップのもと、お題とされる新機能を完成させることを目指していただきます。

完成した新機能は全体のコンセプト、コード、UI/UX、アイディア等を含め総合的に評価します。

AbemaTVの核となる動画プレイヤーの部分はあらかじめ用意いたします。ここに、お題とされる架空の新機能を追加実装していただきます。
お題については1週間ほど前に発表する予定です。"
24,CyberAgent,https://www.cyberagent.co.jp/careers/students/event/detail/id=24427,3days ゲームクライアント向け 開発型インターンシップ,,,体験,,"3days ゲームクライアント向け 開発型インターンシップでは、3日間でお題に沿ったゲームをチームで開発し、ゲームとしての総合的な完成度の高さを競って頂きます。2019年9月に実施された「プロトスプリントリーグ」と同内容のインターンシップです。

サイバーエージェントの現場で実際に働いているエンジニア社員のバックアップのもと、優勝を目指していただきます。
※お題は事前に発表する予定です。

ゲームエンジンはUnityを使用していただきます。(アウトプットは、PC向け/スマートフォン向け等は問いません)
それぞれの技術やアイデアを持ち寄り、チームで最高のゲームを作り上げてみませんか？"
25,CyberAgent,https://www.cyberagent.co.jp/careers/students/event/detail/id=24428,2days Webフロント向け 開発型インターンシップ,,,体験,,
26,CyberAgent,https://www.cyberagent.co.jp/careers/students/event/detail/id=24429,2days データサイエンティスト向け 分析型インターンシップ,,,体験,,"サイバーエージェントが持つデータを使い、テーマに沿って分析・予測をし、その精度を競っていただくデータコンペティションイベントです。

インターンシップ中は、サイバーエージェントの社員であるデータサイエンティストがメンターとして相談やフォローさせていただきますので、社員からのデータ分析、予測に関する技術的な学びも多い場となってます。終了後には懇親会も用意してるので、ざっくばらんに社員とゆっくりお話しすることもできます。

また会場では他の学生と一緒に分析をするため、オンラインでのデータコンペティションとはまた違った面白さを体感していただけます。"
27,CyberAgent,https://www.cyberagent.co.jp/careers/students/event/detail/id=24422,ソフトウェアエンジニアリングコース,,,体験,,"約1か月間、実際の社員と同じように、実務経験をする就業型インターンシップです。

メディア事業、ゲーム事業、アドテク事業、秋葉原ラボ等、サイバーエージェントグループの様々な部署で挑戦していただきます。

約1ヶ月の就業期間の間に、就業先の部署だけでなく、事業部を横断したランチなどを開催し、サイバーエージェント全体について知っていただけるプログラムを予定しています。"
28,DeNA,https://student.dena.com/internship/,,,,体験,,"技術を武器に最高のサービスを届ける
プロフェッショナルを体感する2日間

DeNAエンジニアとチームを組み、改修ポイントの多い「伸びしろのあるアプリ」を大規模サービスとして「最高のアプリ」にしていただきます。
UI/UXを考え抜き、非機能要件まで満たすよう実装してください。

なるべく多くの設計・開発を経験いただけるようスケジュールを組んでおり、2日間とは思えない濃い体験になるはずです。
チーム開発での設計やレビューなどを通し、DeNAのサービスをつくり、支えているエンジニアカルチャーを思う存分体感してください。"
29,DeNA,https://student.dena.com/internship/,ゲームエンジニアリングコース,,,体験,,"「おもしろい」を実現する DeNAのゲーム開発を体感する

現役エンジニアとチームを組んでゲームを作り上げる中で、「おもしろい」を実現する考え方や技術に触れ、ゲームに命を吹き込む体験をしていただきます。チーム開発の楽しさや難しさを、ぜひ体感してください。"
30,DeNA,https://student.dena.com/internship/,データサイエンティストコース,,,体験,,"世界トップレベルのKaggler集団に仲間入り

DeNAならではの事業データを用いて社員と一緒に自社サービスに機械学習を活用していきます。
"
31,Colopl（コロプラ）,https://be-ars.colopl.co.jp/internship/engineer/mashup/,"【ゲーム開発コース】
スマホゲームの開発方法を体感する！
就業型インターンシップ",,,体験,,"コロプラの開発現場の最前線で活躍するエンジニアと共に実際の業務に取り組み、
コロプラ流の開発方法を体感していただきます。
インターンシップ期間中は、学生ひとりに対して社員ひとりがメンターとして付きそうため、
実践レベルのフィードバックを受けながら開発を行うことが可能です。

コロプラのインターンシップ2020で、
これまでに経験したことのない『覚醒』を実感してください。"
32,DMM.com,https://hr.dmm-corp.com/,"
DMM GUILD",,,体験,,●就業型インターン（複数事業部・技術領域） DMMの40を超えるサービスから技術的な課題を提示します。 挑戦してみたい課題を選択し解決に導いてください。  課題をクリアするとポイントが付与されます。 あなたの技術貢献がDMMのサービスの一部になるかも？ 上位ランカーには豪華賞金もご用意しております！
33,DMM.com,https://dmm.snar.jp/jobboard/detail.aspx?id=QobGAsjmdvY,［東京開催］エンジニア就業型インターン,,インフラ,体験,,"プログラム概要
DMM.comは、Webを通じて様々なコンテンツを提供する事業会社です。
AKB48グループなどの動画配信や、電子書籍、FX、太陽光発電、英会話、3Dプリント、格安スマホなど、40以上の幅広いサービスを時代に合わせ柔軟に展開することにより、常にユーザーへ価値を提供しています。
今回はそんなサービスを横断的に支える複数の部門にて、就業型インターンを開催いたします。

コース一覧
●データエンジニア
①データ分析基盤開発
②レコメンドシステム開発
③AIシステム開発
●インフラエンジニア（サーバ・ネットワーク）
●セキュリティエンジニア
●SREエンジニア
★各コースの詳細は、募集要項にてご確認ください。　2022新卒向けサマーインターンシップ募集要項
サービス・プラットフォーム開発をご希望の方は［DMM GUILD］へご応募ください。 https://hr.dmm-corp.com/"
34,Finatextホールディングス,"https://www.wantedly.com/projects/449462 
",[就業型インターン]オルタナティブデータ解析コース,,,体験,,"【当社のインターンシップについて】
インターン専用の短期プログラムではなく、実際の業務を数ヶ月単位でご経験いただきます。インターン生一人に必ず一人「バディ」と呼ばれる社員がつき、成長をサポートします。

【主な業務内容】
当社のグループ会社で、オルタナティブデータ解析を行う株式会社ナウキャストにて、複数のビッグデータをワンストップで分析できる、海外の機関投資家向けデータ分析ツール（※）のバックエンド開発を行っていただきます。具体的には以下の業務内容です。

・データパイプラインの実装、エンハンス
・データベース（RDS、DynamoDB、Redshiftなど）の構築、エンハンス

※機関投資家の投資分析に特化したBIツールの様なものです"
35,Finatextホールディングス,https://www.wantedly.com/projects/452078,[就業型インターン]金融プラットフォーム開発コース,,,体験,,"【当社のインターンシップについて】
インターン専用の短期プログラムではなく、実際の業務を数ヶ月単位でご経験いただきます。インターン生一人に必ず一人「バディ」と呼ばれる社員がつき、成長をサポートします。

【主な業務内容】
当社が提供する金融プラットフォーム（※）の開発を行っていただきます。

※現在は証券プラットフォームを提供しています。"
36,Finatextホールディングス,https://www.wantedly.com/projects/452218,[就業型インターン]金融サービスのビジネスデベロップメントコース,,,体験,,"【当社のインターンシップについて】
インターン専用の短期プログラムではなく、実際の業務を数ヶ月単位でご経験いただきます。インターン生一人に必ず一人「バディ」と呼ばれる社員がつき、成長をサポートします。

【業務内容】
・新規事業開発や既存サービス拡大のために以下業務を幅広く担っていただきます
　- 市場調査
　- 他社サービス利用に基づく調査・考察
　- ドキュメント作成
　- 社内への提言
・パートナー企業との協業やアライアンスの推進、またその補佐
・自社サービスの運営、改善提案、実行
・その他、事業拡大のための各種業務"
37,FLYWHEEL,ttps://www.flywheel.jp/job/swe-internship/,ソフトウェアエンジニア サマーインターンシップ,,,体験,,"「データを⼈々のエネルギーに」をミッションに、
日本発のテクノロジーカンパニーを目指すフライウィール。
多くの企業が抱える、データ活用の課題を弊社エンジニアと一緒に考え
企業の事業価値最大化のためのレベルの高い開発をサマーインターンシップで
体感してみませんか。

◆インターンプロジェクト一例　
※過去の一例となるため、今年度は変更の可能性あり
・サイト内コンテンツ検索システムの開発
・ユーザー行動解析
・EC用レコメンドエンジンの開発
・広告配信システム及びその周辺ツールの開発
 "
38,"FORCIA 
(フォルシア株式会社)",https://www.forcia.com/jobs/summerinternship2020/,Summer Internship 2020 : フォルシア株式会社,,,体験,,"エンジニアと一緒に、それぞれのコースに合わせた課題解決を行います。
フォルシアトップクラスのエンジニアがメンターとしてサポートし、最終日には社員を集めたインターンシップ成果発表会を開催します。
フォルシアのカルチャーと検索技術へのこだわりが実感できます。
●検索アプリケーション開発コース
●Rustインメモリデータベース開発コース
●自然言語処理コース
●新規サービス開発コース
●Google Hotel Ads 配信最適化コース
●ダイナミックプライシングモデル開発コース"
39,,https://docs.google.com/forms/d/e/1FAIpQLSfa-NHbl3GQ3RgOnoUPFlGTu8eV3XtvhTlYVaxqwOtTD2u0jA/viewform,freee Summer Internship 2020：完全実務コース,,,体験,,"※相当程度の技術力・実装力が必要になるコースです。尚、夏インターンの成果によって本選考の特別選考ルートもご用意をしております。
・freeeの実際のプロダクト開発の現場に入っていただき、開発実務に携わっていただきます。
・インターン向けのお題ではなく、freeeで実際に未解決の難題に取り組んでいただきます。
・各開発チームから選りすぐりの難題をご用意してお待ちしています。
・freeeの第一線で開発にあたるエンジニアがそれぞれメンターとしてお付きします。"
40,GMOペパボ,https://open.talentio.com/1/c/pepabo/requisitions/detail/16113,【オンラインサマーインターンシップ2020】エンジニア職（モバイルエンジニア）,,,体験,,"SUZURIのWeb APIを用いたモバイルアプリケーション開発(Flutter)に、3日間取り組んでいただきます。期間中は実際のサービスに触れ、ペパボのエンジニアからレビューを受けながらチーム開発に取り組んでいただけます。

※インターンシップ中のチーム分けについては弊社にて判断し、決定します"
41,GMOインターネット,https://recruit.gmo.jp/engineer/jisedai/internship/,TECHNOLOGY INTERNSHIP,,,体験,,将来 Web/IT 業界で働くことに興味のある学生の方たちを対象にしたインターンシップ制度です。GMOインターネットグループの事業を横断的に技術でリードする「次世代システム研究室」がチューターとなり、希望するテーマを研究開発いただきます。  データサイエンスコース 次世代システム研究室が参加するプロジェクトの実データなどを使って、データサイエンスで解決したいビジネス課題を想定し、 機械学習モデルの選定/実装、実データの前処理、特徴量設計、評価指標策定、学習/評価など、データサイエンス業務のポイントを体験して頂きます。 現場で活躍するデータサイエンティストがチューターとなり、データドリブンな課題解決のプロセスが体験できます。   ARコース 最新のAR技術を使ったプロダクトを企画から開発まで取り組み、実用性を検証する実験的な要素が強いコースです。 最新技術の理解・応用とともに、自ら実現可能なユースケースを考えて形にするという開発プロセスを体験することができます。   Webエンジニアリングコース 当部門で技術支援を行っているスタートアップやグループ横断のプロジェクトにおいて開発チームの一員として、 開発業務やミドルウェアの検証などに携わっていただきます。 大規模プロジェクトにおける課題解決やアジャイルソフトウェア開発手法のスクラムによる開発プロセスを体験することができます。   オープンポジション（自由課題） テーマをご自身で自由に決めていただき、期間内にアウトプットしていただくコースです。既存概念にとらわれず、新しい技術で新しい価値観を生み出すことを志す学生の皆さんを我々は支援します。 
42,Google,https://careers.google.com/jobs/results/85675430092120774/?hl=ja_JP,Software Engineering Intern,,,体験,,"テクノロジー業界で働くことと Google のフルタイム職にご興味のある学生の皆様を対象とした 8～14 週間にわたるフルタイム有給のユニークなインターンシップを実施します。

このプログラムでは、複雑なコンピュータ サイエンス ソリューションや拡張可能な分散型ソフトウェア システムの開発に取り組み、また世界に影響を与える多数の小規模プロジェクトにも協力して取り組めるような機会を提供します。こうした取り組みには調査力、高い意識、協調性、そして疑問に思う力が欠かせません。

ソフトウェア エンジニアリング インターンは、Google の中心的なプロダクトやサービスを担当するとともに、Google のエンジニアリング業務で重要な役割を果たしている担当者と連携するポジションです。"
43,株式会社はてな,https://hatenacorp.jp/intern2020,,,,体験,,"はてな初、今年のインターンシップは全日オンラインでの開催となります。

「はてなリモートインターンシップ」では、課題セントリックの新しいカリキュラムを実施します。カリキュラムは、課題への準備のための講義、チャレンジングな課題、そしてフィードバックで構成されています。課題のテーマはマイクロサービスで、マイクロサービスとして設計されたシステムの中で、ひとつのサービスを丸ごと作っていただく予定です。"
44,Insight Tech,http://lab.insight-tech.co.jp/articles/225/,2020 データサイエンティスト インターン,,,体験,Python,"自然言語処理に特化したシステム開発、モデル開発に取り組むインターンです。１ヶ月〜２ヶ月で参加し、実務につなげられるようなロジック構築、開発に取り組みます。
開発はPythonをメインに使いますが、目的に応じて柔軟に言語やミドルウェアを組み合わせます。

基本的にはInsight Techが運営している「不満買取センター」で収集した不満データを利用します。
テーマ例は募集要項に掲載のとおりですが、これ以外にも、不満データを使うことでこういうことができるんじゃないか、こういうことをやりたい、といった提案も歓迎します。"
45,LeapMind株式会社,https://hrmos.co/pages/leapmind/jobs/000,サマーインターンシップ2020年,,,体験,,"2020年の夏、LeapMindで技術インターンをしたい、deep learningに興味のある学生を募集します！

LeapMindは、意欲的な学生の方々を対象に、サマーインターンを募集します。LeapMindは、深層学習を世の中のあらゆるモノに実装し、より便利で豊かな社会を実現することを目指し、低ビットのコンパクトなニューラルネットを作成するオープンソースソフトウェアBlueoilの開発や、超低消費電力AI推論アクセラレータIP「Efficiera™」の開発を進めています。Blueoil開発、プロセッサ設計、その他のプロジェクトに参加し、先端技術を社会に届ける一端になってみませんか。"
